['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 5, 153163), 'Duration (s)', 0.049714]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 5, 208837), 'Duration (s)', 0.053808]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 5, 262645), 'Duration (s)', 0.049917]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 5, 319545), 'Duration (s)', 0.042235]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 5, 361780), 'Duration (s)', 0.049263]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 5, 417067), 'Duration (s)', 0.050013]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 5, 467080), 'Duration (s)', 0.048921]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 5, 522022), 'Duration (s)', 0.036916]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 5, 558938), 'Duration (s)', 0.055815]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 5, 620769), 'Duration (s)', 0.046939]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 5, 667708), 'Duration (s)', 0.05173]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 5, 732447), 'Duration (s)', 0.03146]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 5, 763907), 'Duration (s)', 0.056041]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 5, 825968), 'Duration (s)', 0.038853]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 5, 864821), 'Duration (s)', 0.05186]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 5, 921692), 'Duration (s)', 0.034362]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 5, 956054), 'Duration (s)', 0.051308]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 6, 12351), 'Duration (s)', 0.052038]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 6, 64389), 'Duration (s)', 0.049571]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 6, 120990), 'Duration (s)', 0.037481]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 6, 158471), 'Duration (s)', 0.051032]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 6, 215684), 'Duration (s)', 0.041373]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 6, 257057), 'Duration (s)', 0.050161]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 6, 313244), 'Duration (s)', 0.038233]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 6, 351477), 'Duration (s)', 0.053254]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 6, 412743), 'Duration (s)', 0.05272]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 6, 465463), 'Duration (s)', 0.048386]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 6, 518366), 'Duration (s)', 0.04057]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 6, 558936), 'Duration (s)', 0.05579]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 6, 621733), 'Duration (s)', 0.03814]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 6, 659873), 'Duration (s)', 0.057052]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 6, 722954), 'Duration (s)', 0.031208]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 6, 754162), 'Duration (s)', 0.054106]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 6, 815274), 'Duration (s)', 0.061077]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 6, 876351), 'Duration (s)', 0.051821]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 6, 934180), 'Duration (s)', 0.026691]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 6, 960871), 'Duration (s)', 0.051504]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 7, 17568), 'Duration (s)', 0.037047]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 7, 54615), 'Duration (s)', 0.049653]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 7, 109307), 'Duration (s)', 0.052308]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 7, 161615), 'Duration (s)', 0.052487]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 7, 225083), 'Duration (s)', 0.04308]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 7, 268163), 'Duration (s)', 0.050225]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 7, 324418), 'Duration (s)', 0.039523]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 7, 363941), 'Duration (s)', 0.052827]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 7, 421779), 'Duration (s)', 0.046108]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 7, 467887), 'Duration (s)', 0.05183]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 7, 526794), 'Duration (s)', 0.025264]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 7, 552058), 'Duration (s)', 0.051876]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 7, 610950), 'Duration (s)', 0.050499]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 7, 661449), 'Duration (s)', 0.05365]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 7, 721119), 'Duration (s)', 0.039557]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 7, 760676), 'Duration (s)', 0.048902]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 7, 815768), 'Duration (s)', 0.041965]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 7, 857733), 'Duration (s)', 0.049393]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 7, 912499), 'Duration (s)', 0.039452]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 7, 951951), 'Duration (s)', 0.047872]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 8, 6944), 'Duration (s)', 0.058475]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 8, 65419), 'Duration (s)', 0.0475]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 8, 119100), 'Duration (s)', 0.039003]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 8, 158103), 'Duration (s)', 0.052352]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 8, 217436), 'Duration (s)', 0.05049]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 13, 8, 267926), 'Duration (s)', 0.051417]
['Search Time', datetime.datetime(2024, 8, 5, 11, 13, 8, 325365), 'Duration (s)', 0.025707]
